team,longitude,latitude
bal,-76.6216666666667,39.2838888888889
bos,-71.0975,42.3463888888889
nyy,-73.9263888888889,40.8291666666667
tb,-82.6533333333333,27.7683333333333
tor,-79.3891666666667,43.6413888888889
cha,-87.6338888888889,41.83
cle,-81.6852777777778,41.4958333333333
det,-83.0486111111111,42.3391666666667
kc,-94.4805555555556,39.0513888888889
min,-93.2783333333333,44.9816666666667
hou,-95.3555555555556,29.7569444444444
laa,-117.882777777778,33.8002777777778
oak,-122.200555555556,37.7516666666667
sea,-122.3325,47.5913888888889
tex,-97.0827777777778,32.7513888888889
atl,-84.4677777777778,33.89
mia,-80.2197222222222,25.7780555555556
nym,-73.8458333333333,40.7569444444444
phi,-75.1663888888889,39.9058333333333
was,-77.0075,38.8727777777778
chn,-87.6555555555556,41.9483333333333
cin,-84.5066666666667,39.0975
mil,-87.9711111111111,43.0283333333333
pit,-80.0058333333333,40.4469444444444
stl,-90.1930555555556,38.6225
ari,-112.066944444444,33.4452777777778
col,-104.994166666667,39.7561111111111
lad,-118.24,34.0736111111111
sd,-117.156666666667,32.7072222222222
sf,-122.389166666667,37.7786111111111